ActivityCode,ActivityName,Provider,Active,ActivityDescription,Language,EstimatedDuration,EstimatedCredits,MaxScore,QuestionText,QuestionID,RandomiseQuestions,AllowUserToReview,Topic,SectionName
5S_5S Overview_Library,5S WORKPLACE PRODUCTIVITY: 21Q_5S Overview Quiz (Gemba),Assessment,1,,en-us,1200,,80,FMEA is the acronym for...,17,1,0,Cloud Computing,5S_5S Overview_Library
5S_5S Overview_Library,5S WORKPLACE PRODUCTIVITY: 21Q_5S Overview Quiz (Gemba),Assessment,1,,en-us,1200,,80,A FMEA is a tool that...,18,1,0,Cloud Computing,5S_5S Overview_Library
5S_5S Overview_Library,5S WORKPLACE PRODUCTIVITY: 21Q_5S Overview Quiz (Gemba),Assessment,1,,en-us,1200,,80,Which of the following is a type of FMEA?,19,1,0,Cloud Computing,5S_5S Overview_Library
5S_5S Overview_Library,5S WORKPLACE PRODUCTIVITY: 21Q_5S Overview Quiz (Gemba),Assessment,1,,en-us,1200,,80,"Please refer to your printed document for Detection criteria, for the correct answer to this statement:� For Detection, the rank for Failure Mode detection in-station by operator through visual/tactile/audible means would be",25,1,0,Cloud Computing,5S_5S Overview_Library
5S_5S Overview_Library,5S WORKPLACE PRODUCTIVITY: 21Q_5S Overview Quiz (Gemba),Assessment,1,,en-us,1200,,80,"Please refer to your printed document for Detection criteria, for the correct answer to this statement:� For Detection, the rank for Failure Mode detection in-station by automated controls that will detect discrepant part and automatically lock part in station to prevent further processing would be",26,1,0,Cloud Computing,5S_5S Overview_Library
5S_5S Overview_Library,5S WORKPLACE PRODUCTIVITY: 21Q_5S Overview Quiz (Gemba),Assessment,1,,en-us,1200,,80,"Please refer to your printed document for Occurrence criteria, for the correct answer to this statement:� For Occurrence, the rank for an occurrence rate of 20,000 ppm would be",27,1,0,Cloud Computing,5S_5S Overview_Library
5S_5S Overview_Library,5S WORKPLACE PRODUCTIVITY: 21Q_5S Overview Quiz (Gemba),Assessment,1,,en-us,1200,,80,"Please refer to your printed document for Occurrence criteria, for the correct answer to this statement:� For Occurrence, the rank for an occurrence rate of 1 ppm would be",28,1,0,Cloud Computing,5S_5S Overview_Library
5S_5S Overview_Library,5S WORKPLACE PRODUCTIVITY: 21Q_5S Overview Quiz (Gemba),Assessment,1,,en-us,1200,,80,"Please refer to your printed document for Severity criteria, for the correct answer to this statement:� For Severity, the rank for a loss of primary function (vehicle inoperable, does not affect safe vehicle operation) would be",30,1,0,Cloud Computing,5S_5S Overview_Library
5S_5S Overview_Library,5S WORKPLACE PRODUCTIVITY: 21Q_5S Overview Quiz (Gemba),Assessment,1,,en-us,1200,,80,"Please refer to your printed document for Severity criteria, for the correct answer to this statement:� For Severity, the rank for appearance or audible noise, vehicle operable, item does not conform and noticed by many customers (50%) would be",31,1,0,Cloud Computing,5S_5S Overview_Library
5S_5S Overview_Library,5S WORKPLACE PRODUCTIVITY: 21Q_5S Overview Quiz (Gemba),Assessment,1,,en-us,1200,,80,The _________ Statement summarizes why the organization exists.,34,1,0,Cloud Computing,5S_5S Overview_Library
5S_5S Overview_Library,5S WORKPLACE PRODUCTIVITY: 21Q_5S Overview Quiz (Gemba),Assessment,1,,en-us,1200,,80,Which is NOT something the mission statement addresses?,36,1,0,Cloud Computing,5S_5S Overview_Library
5S_5S Overview_Library,5S WORKPLACE PRODUCTIVITY: 21Q_5S Overview Quiz (Gemba),Assessment,1,,en-us,1200,,80,"STEEP stands for Social, Technological, Economic, Environmental, and",37,1,0,Cloud Computing,5S_5S Overview_Library
5S_5S Overview_Library,5S WORKPLACE PRODUCTIVITY: 21Q_5S Overview Quiz (Gemba),Assessment,1,,en-us,1200,,80,The _________ enables organizations to define their ideal state of being.,39,1,0,Cloud Computing,5S_5S Overview_Library
5S_5S Overview_Library,5S WORKPLACE PRODUCTIVITY: 21Q_5S Overview Quiz (Gemba),Assessment,1,,en-us,1200,,80,The first step of the Vision Creation process is for the team to form what we call the _________.,40,1,0,Cloud Computing,5S_5S Overview_Library
5S_5S Overview_Library,5S WORKPLACE PRODUCTIVITY: 21Q_5S Overview Quiz (Gemba),Assessment,1,,en-us,1200,,80,Breakthrough objectives are the vital few _________ changes needed for the organization to achieve its vision.,42,1,0,Cloud Computing,5S_5S Overview_Library
5S_5S Overview_Library,5S WORKPLACE PRODUCTIVITY: 21Q_5S Overview Quiz (Gemba),Assessment,1,,en-us,1200,,80,Which of the following is NOT one of the three tests all Breakthrough Objectives must pass?,43,1,0,Cloud Computing,5S_5S Overview_Library
5S_5S Overview_Library,5S WORKPLACE PRODUCTIVITY: 21Q_5S Overview Quiz (Gemba),Assessment,1,,en-us,1200,,80,The horizontal deploying or copying of ideas.,46,1,0,Cloud Computing,5S_5S Overview_Library
5S_5S Overview_Library,5S WORKPLACE PRODUCTIVITY: 21Q_5S Overview Quiz (Gemba),Assessment,1,,en-us,1200,,80,A word that when translated means reflection or even repentance.,47,1,0,Cloud Computing,5S_5S Overview_Library
