QuestionID,Questiontext,Questiontype,Correct Answer,QuestionBankCode,Randomize Answer Choices,# of Answer Choices,All of the Above,None of the Above,Answer 1,Answer 2,Answer 3,Answer 4,,,,,,Answer 10
7,"When Recommended Action(s) are not required, leave blank.",True or False,2,Compliance,1,2,,,True,False,,,,,,,,
8,"When Recommended Action(s) are completed, the Risk Priority Number (RPN) is recalculated.",True or False,2,Compliance,1,2,,,True,False,,,,,,,,
9,"The Risk Priority Number (RPN) is calculated by adding the values for Severity, Occurrence, and Detection.",True or False,2,Compliance,1,2,,,True,False,,,,,,,,
10,"The Risk Priority Number (RPN) is calculated by multiplying the values for Severity, Occurrence, and Detection.",True or False,2,Compliance,1,2,,,True,False,,,,,,,,
11,Severity is the rank associated with the most serious effect from the Potential Effect(s) of Failure.,True or False,2,Compliance,1,2,,,True,False,,,,,,,,
12,Improper fit to mating part would be a Potential Effect of Failure.,True or False,2,Compliance,1,2,,,True,False,,,,,,,,
13,Metal shavings in material is Current Process Control.,True or False,2,Compliance,1,2,,,True,False,,,,,,,,
14,QC tear seam check once per week is a Detection control.,True or False,2,Compliance,1,2,,,True,False,,,,,,,,
17,FMEA is the acronym for...,Multiple Choice,4,Compliance,1,4,,,Severity Explanation 1,Risk Explanation 2,Action Explanation 3,Effect Explanation 4,,,,,,
18,A FMEA is a tool that...,Multiple Choice,4,Compliance,1,4,,,Action Explanation 1,Risk Explanation 2,Severity Explanation 3,Compliance Explanation 4,,,,,,
19,Which of the following is a type of FMEA?,Multiple Choice,4,Compliance,1,4,,,Risk Explanation 1,Effect Explanation 2,Compliance Explanation 3,Severity Explanation 4,,,,,,
20,A Failure Mode describes how something can go wrong with a process step/input.,True or False,2,Compliance,1,2,,,True,False,,,,,,,,
21,"A FMEA assigns ranks to a failure mode and potential effects based on severity, occurrence and detection values.",True or False,2,Compliance,1,2,,,True,False,,,,,,,,
23,Occurrence is the likelihood that a specific Cause/Mechanism will occur.,True or False,2,Compliance,1,2,,,True,False,,,,,,,,
25,"Please refer to your printed document for Detection criteria, for the correct answer to this statement:  For Detection, the rank for Failure Mode detection in-station by operator through visual/tactile/audible means would be",Multiple Choice,4,Compliance,1,4,,,Severity Explanation 1,Risk Explanation 2,Compliance Explanation 3,Action Explanation 4,,,,,,
26,"Please refer to your printed document for Detection criteria, for the correct answer to this statement:  For Detection, the rank for Failure Mode detection in-station by automated controls that will detect discrepant part and automatically lock part in station to prevent further processing would be",Multiple Choice,4,Compliance,1,4,,,Severity Explanation 1,Compliance Explanation 2,Action Explanation 3,Risk Explanation 4,,,,,,
27,"Please refer to your printed document for Occurrence criteria, for the correct answer to this statement:  For Occurrence, the rank for an occurrence rate of 20,000 ppm would be",Multiple Choice,4,Compliance,1,4,,,Risk Explanation 1,Action Explanation 2,Severity Explanation 3,Effect Explanation 4,,,,,,
28,"Please refer to your printed document for Occurrence criteria, for the correct answer to this statement:  For Occurrence, the rank for an occurrence rate of 1 ppm would be",Multiple Choice,4,Compliance,1,4,,,Compliance Explanation 1,Action Explanation 2,Effect Explanation 3,Risk Explanation 4,,,,,,
30,"Please refer to your printed document for Severity criteria, for the correct answer to this statement:  For Severity, the rank for a loss of primary function (vehicle inoperable, does not affect safe vehicle operation) would be",Multiple Choice,4,Compliance,1,4,,,Action Explanation 1,Risk Explanation 2,Severity Explanation 3,Effect Explanation 4,,,,,,
31,"Please refer to your printed document for Severity criteria, for the correct answer to this statement:  For Severity, the rank for appearance or audible noise, vehicle operable, item does not conform and noticed by many customers (50%) would be",Multiple Choice,4,Compliance,1,4,,,Effect Explanation 1,Action Explanation 2,Severity Explanation 3,Risk Explanation 4,,,,,,
32,"Hoshin Planning is a strategic planning process with built-in review, improvement, and learning activities.",True or False,2,Hoshin,1,2,,,True,False,,,,,,,,
34,The _________ Statement summarizes why the organization exists.,Multiple Choice,4,Hoshin,1,4,,,Action Explanation 1,Effect Explanation 2,Severity Explanation 3,Risk Explanation 4,,,,,,
35,"The mission clearly defines what the organization does to add value to their customer, enabling them to better focus their resources and efforts.",True or False,2,Hoshin,1,2,,,True,False,,,,,,,,
36,Which is NOT something the mission statement addresses?,Multiple Choice,4,Hoshin,1,4,,,Severity Explanation 1,Risk Explanation 2,Compliance Explanation 3,Effect Explanation 4,,,,,,
37,"STEEP stands for Social, Technological, Economic, Environmental, and",Multiple Choice,4,Hoshin,1,4,,,Risk Explanation 1,Severity Explanation 2,Action Explanation 3,Compliance Explanation 4,,,,,,
38,The values of an organization strongly influence the way associates work on a day to day basis.,True or False,2,Hoshin,1,2,,,True,False,,,,,,,,
39,The _________ enables organizations to define their ideal state of being.,Multiple Choice,4,Hoshin,1,4,,,Action Explanation 1,Effect Explanation 2,Risk Explanation 3,Severity Explanation 4,,,,,,
40,The first step of the Vision Creation process is for the team to form what we call the _________.,Multiple Choice,4,Hoshin,1,4,,,Effect Explanation 1,Compliance Explanation 2,Severity Explanation 3,Action Explanation 4,,,,,,
