ActivityCode,ActivityName,Provider,Active,Language,EstimatedDuration,EstimatedCredits,ActivityDescription,Minimum,Maximum,Instructor,ExpressIntrest,Contact,Skills,Competency,Topic
11th Annual Steel Markets North America Conference (vendor),11th Annual Steel Markets North America Conference,ILT Content,0,en-us,,,,,,,0,,,,Productivity Tools for API Developers
2-Day APQP J PPAP 4th Edition Training (vendor),2-Day APQP J PPAP 4th Edition Training,ILT Content,0,en-us,,,,,,,0,,,,AI Apprentice to AI Architect
"2-Day FMEA, SPC, J MSA Training (vendor)","2-Day FMEA, SPC, J MSA Training",ILT Content,0,en-us,,,,,,,0,,,,Productivity Tools with Serverless Deployments for Developers
3D Vision Smart Cameras - COGNEX (vendor),3D Vision Smart Cameras - COGNEX,ILT Content,0,en-us,,,,,,,0,,,,Managing & Leading through Unexpected Disruption
7 Habits (MAC),The 7 Habits of Highly Effective People,ILT Content,0,en-us,,,,,,,0,,,,Business & Leadership for Developer Fundamentals
Accounting_Inventory,Inventory Count & Audit,ILT Content,0,en-us,,,,,,,0,,,,Productivity Tools for AI Architects
Adaptive Leadership (MAC),Adaptive Leadership Workshop,ILT Content,0,en-us,,,,,,,0,,,,Business & Leadership for Site Reliability Engineers
Audit_Internal Auditor Training (to Review Revisions),Internal Auditor Training (to Review Revisions),ILT Content,1,,3600,,This training covers any revisions to audit requirements since the previous update.,,,,0,AGG.University@dummydata.com,,,Javanista to Java Master
Auditor Training (vendor),Transitioning to IATF 16949 Auditor Training 24-Hr Cert,ILT Content,1,en-us,,,,,,,0,,,,Enriched Web Development with Angular 11
BIOL-101-B1 (College Transcript),General Biology,ILT Content,0,en-us,,,,,,,0,,,,Business & Leadership for Javanista to Java Master
CAD110 (vendor),CAD110 SolidWorks Essentials,ILT Content,0,en-us,,,,,,,0,,,,Pythonista to Python Master
CAD110 Test (vendor),CAD110 SOLIDWORKS Essentials Competency Test,ILT Content,0,en-us,,,,,,,0,,,,Productivity Tools for Business Analyst to Data Analysts
CAD215 SOLIDWORKS Assembly Molding (vendor),CAD215 SOLIDWORKS Assembly Molding,ILT Content,0,en-us,,,,,,,0,,,,Security Essentials for Decision-makers and Leaders
Certified Die Casting Technician (vendor),Certified Die Casting Technician,ILT Content,0,en-us,,,,,,,0,,,,Productivity Tools for CloudOps Engineers
Cognex In-Sight (vendor),Cognex In-Sight EasyBuilder & Spreadsheet Standard,ILT Content,0,en-us,,,,,,,0,,,,Productivity Tools for Data Analysis with R
Collaborative Robotics - Meet BAXTER - RE - THINK (vendor),Collaborative Robotics - Meet BAXTER - RE - THINK ROBOTICS,ILT Content,0,en-us,,,,,,,0,,,,Business & Leadership for Go Programming Essentials
Compliance_Fire Extinguisher (Cintas),Live Fire Extinguisher Training (Cintas),ILT Content,0,en-us,,,"Instructor-led, hands-on training specific for safely extinguishing magnesium fires (1-year Recertification)",,,,0,,,,Software Product Management Proficiency
Compliance_Hazwoper 40,Hazwoper 40,ILT Content,1,en-us,,,40-hour safety course for workers who are exposed to hazardous materials (No Recertification) This training complies with ISO standard 40 CSR 25-5 262.,,,,0,,,,Programmer to API Developer
Compliance_IATA Dangerous Goods Training,IATA Dangerous Goods Training,ILT Content,0,en-us,,,Certification for safe transportation of dangerous goods by air (2-year Recertification),,,,0,,,,Agile for Software Development
Compliance_IMDG,IMDG Dangerous Goods Training,ILT Content,0,en-us,,,Certification for safe transportation of dangerous goods by sea (3-year Recertification),,,,0,,,,Java Novice to Javanista
Compliance_Initial/Recurrent (vendor),"Initial/Recurrent IATA, 49 CFR & IMDG",ILT Content,0,en-us,,,"Multi-Modal Certification for safe transportation of dangerous goods by land (49CFR), sea (IMDG), and air (IATA) (3-year Recertification for 49CFR and IMDG) (2-year Recertification for IATA)",,,,0,,,,Data Analysis with R
Compliance_Intro to Chrome,Intro to Chrome,ILT Content,0,en-us,,,Work safely with Chrome; follow Chrome Department procedures and policies to ensure your safety and the safety of others (No Recertification),,,,0,,,,Business & Leadership for AI and ML for Decision-makers
Compliance_Intro to AGG,Intro to AGG,ILT Content,0,en-us,,,"Receive detailed information on policies and procedures in safety, TPS, and quality; understand your employee rights and responsibilities (No Recertification)",,,,0,,,,Business & Leadership for Engineering Lead
Compliance_Intro to AGG - Benefits Orientation (IMX),Intro to AGG - Benefits Orientation (IMX),ILT Content,1,en-us,7200,,"Introduces new employees to the benefits AGG provides to employees, which may include health insurances, retirement plans, medical leave rights, and more. This training complies with requirements set by AGG and governing agencies.",,,,0,AGG.University@dummydata.com,,,Business & Leadership with Serverless Deployments for Developers
Compliance_Intro to AGG - Benefits Orientation (MINTO),Intro to AGG - Benefits Orientation (MINTO) - HR will Assess Completion,ILT Content,1,en-us,7200,,"Introduces new employees to the benefits AGG provides to employees, which may include health insurances, retirement plans, medical leave rights, and more. This training complies with requirements set by AGG and governing agencies.",,,,0,AGG.University@dummydata.com,,,Productivity Tools for Decision-makers and Leaders
Compliance_Intro to AGG - Benefits Orientation (AGGASK),Intro to AGG - Benefits Orientation (AGGASK) - AGGU will Assess Completion,ILT Content,1,en-us,7200,,"Introduces new employees to the benefits AGG provides to employees, which may include health insurances, retirement plans, medical leave rights, and more. This training complies with requirements set by AGG and governing agencies.",,,,0,AGG.University@dummydata.com,,,AI and ML for Decision-makers
Compliance_Intro to AGG - Benefits Orientation (AGGFS),Intro to AGG - Benefits Orientation (AGGFS),ILT Content,1,en-us,7200,,"Introduces new employees to the benefits AGG provides to employees, which may include health insurances, retirement plans, medical leave rights, and more. This training complies with requirements set by AGG and governing agencies.",,,,0,AGG.University@dummydata.com,,,Web App Vulnerability Analyst
Compliance_Intro to AGG - Benefits Orientation (AGGKY),Intro to AGG - Benefits Orientation (AGGKY),ILT Content,1,en-us,7200,,"Introduces new employees to the benefits AGG provides to employees, which may include health insurances, retirement plans, medical leave rights, and more. This training complies with requirements set by AGG and governing agencies.",,,,0,AGG.University@dummydata.com,,,Business & Leadership for Pythonista
Compliance_Intro to AGG - Benefits Orientation (AGGMO),Intro to AGG - Benefits Orientation (HR will Assess Completion),ILT Content,1,en-us,7200,,"Introduces new employees to the benefits AGG provides to employees, which may include health insurances, retirement plans, medical leave rights, and more. This training complies with requirements set by AGG and governing agencies.",,,,0,AGG.University@dummydata.com,,,Enterprise Development to DevOps Engineer
Compliance_Intro to AGG - Benefits Orientation (AGGNA),Intro to AGG - Benefits Orientation (AGGNA),ILT Content,1,en-us,7200,,"Introduces new employees to the benefits AGG provides to employees, which may include health insurances, retirement plans, medical leave rights, and more. This training complies with requirements set by AGG and governing agencies.",,,,0,AGG.University@dummydata.com,,,Business & Leadership for Software Product Management
Compliance_Intro to AGG - Benefits Orientation (AGGTX),Intro to AGG - Benefits Orientation (AGGTX) - AGGU will Assess Completion,ILT Content,1,en-us,7200,,"Introduces new employees to the benefits AGG provides to employees, which may include health insurances, retirement plans, medical leave rights, and more. This training complies with requirements set by AGG and governing agencies.",,,,0,AGG.University@dummydata.com,,,Productivity Tools for Journeyman Developers
Compliance_Intro to AGG - HR Orientation (AGGMO-NAI),Intro to AGG - HR Orientation (HR will Assess Completion),ILT Content,1,en-us,5400,,Introduces new employees to AGG's HR-related policies and procedures. This training complies with requirements set by AGG and governing authorities.,,,,0,AGG.University@dummydata.com,,,Infrastructure Support Engineer to CloudOps Engineer
Compliance_Intro to AGG - Orientation (IMX),Intro to AGG - Orientation (IMX),ILT Content,1,en-us,14400,,"Introduces new employees to AGG's policies, procedures, and philosophies, as well as environmental and safety policies and procedures. This training complies with requirements set by AGG, local, and governing authorities.",,,,0,AGG.University@dummydata.com,,,Developer Fundamentals
Compliance_Intro to AGG - Orientation (MINTO),Intro to AGG - Orientation (MINTO) - HR will Assess Completion,ILT Content,1,en-us,14400,,"Introduces new employees to AGG's policies, procedures, and philosophies, as well as environmental and safety policies and procedures. This training complies with requirements set by AGG, local, and governing authorities.",,,,0,AGG.University@dummydata.com,,,Network Admin to Site Reliability Engineer
Compliance_Intro to AGG - Orientation (AGGASK),Intro to AGG - Orientation (AGGASK) - AGGU will Assess Completion,ILT Content,1,en-us,14400,,"Introduces new employees to AGG's policies, procedures, and philosophies, as well as environmental and safety policies and procedures. This training complies with requirements set by AGG, local, and governing authorities.",,,,0,AGG.University@dummydata.com,,,Productivity Tools for Senior Software Project Managers
Compliance_Intro to AGG - Orientation (AGGFS),Intro to AGG - Orientation (AGGFS),ILT Content,1,en-us,14400,,"Introduces new employees to AGG's policies, procedures, and philosophies, as well as environmental and safety policies and procedures. This training complies with requirements set by AGG, local, and governing authorities.",,,,0,AGG.University@dummydata.com,,,5G Technologies and Practices
Compliance_Intro to AGG - Orientation (AGGKY),Intro to AGG - Orientation (AGGKY),ILT Content,1,en-us,14400,,"Introduces new employees to AGG's policies, procedures, and philosophies, as well as environmental and safety policies and procedures. This training complies with requirements set by AGG, local, and governing authorities.",,,,0,AGG.University@dummydata.com,,,Web App Vulnerability Analyst - 2022 Update
Compliance_Intro to AGG - Orientation (AGGNA),Intro to AGG - Orientation (AGGNA),ILT Content,1,en-us,14400,,"Introduces new employees to AGG's policies, procedures, and philosophies, as well as environmental and safety policies and procedures. This training complies with requirements set by AGG, local, and governing authorities.",,,,0,AGG.University@dummydata.com,,,Business & Leadership for Programming Python in Action
Compliance_Intro to AGG - Orientation (AGGTX),Intro to AGG - Orientation (AGGTX) - AGGU will Assess Completion,ILT Content,1,en-us,14400,,"Introduces new employees to AGG's policies, procedures, and philosophies, as well as environmental and safety policies and procedures. This training complies with requirements set by AGG, local, and governing authorities.",,,,0,AGG.University@dummydata.com,,,Go Programming Essentials
Compliance_Intro to AGG Benefits,Intro to AGG Benefits,ILT Content,0,en-us,,,"Receive detailed information on your eligible AGG benefits, including medical insurances and retirement (No Recertification)",,,,0,,,,Productivity Tools for Javanista
Compliance_Legal Compliance (2020),Legal Compliance Training (2020),ILT Content,0,,5400,,"Know your role and responsibilities, as a leader at Toyoda Gosei, to uphold rules and policies related to corporate and social responsibility, compliance, and third-party involvement (Annual Recertification) This training complies with AGGNA standards.",,,NA900569,0,AGG.University@dummydata.com,,,Productivity Tools for Software Architects
Compliance_Live Fire Extinguisher Training,Live Fire Extinguisher Training (Safety Dept will Schedule Date & Time),ILT Content,0,,3600,," The Safety Dept will schedule this live fire extinguisher training, and will notify you of the dates and times. In this training, attendees will learn how to properly extinguish class A, B, and C fires.",,,,1,AGG.University@dummydata.com,,,Productivity Tools for Data Visualization
Compliance_LIVE Fire Extinguisher Training_MO,LIVE Fire Extinguisher Training (Safety Department will Schedule Date & Time),ILT Content,1,,3600,,"The Safety Dept will schedule this live fire extinguisher training, and will notify you of the dates and times. In this training, attendees will learn how to properly extinguish class A, B, and C fires.",,,,1,AGG.University@dummydata.com,,,Business & Leadership for AI Architects
Compliance_LIVE Fire Extinguisher Training_SP,LIVE Fire Extinguisher Training (Safety Department will Schedule Date & Time),ILT Content,1,en-us,3600,,"The Safety Dept will schedule this live fire extinguisher training, and will notify you of the dates and times. In this training, attendees will learn how to properly extinguish class A, B, and C fires.",,,,1,AGG.University@dummydata.com,,,Productivity Tools for 5G Technologies and Practices
Compliance_Overhead Crane Operating Skills Test,Overhead Crane Operating Skills Test,ILT Content,0,en-us,,,Evaluation of your ability to properly and safely operate an overhead crane (No Recertification; Remediation if needed),,,,0,,,,Business & Leadership for Javanista
Compliance_Propane Fill Certification,Propane Fill Certification,ILT Content,0,,14400,,Certifies forklift operators to safely fill propane tanks on propane forklifts (3-yr Recertification) This training complies with OSHA standard 1910.178.,,,,1,AGG.University@dummydata.com,,,Business & Leadership for Enriched Web Development with Angular 11
Compliance_Scissor & Boom Operating Skills Test,Scissor & Boom Operating Skills Test,ILT Content,0,en-us,,,Evaluation of your ability to properly and safely operate a Scissor & Boom Lift (No Recertification; Remediation if needed),,,,0,,,,Programming Python in Action
Compliance_AGG Legal Compliance Training (ILT),AGG Legal Compliance Training (ILT),ILT Content,1,en-us,,,"Know your role and responsibilities, as a leader at Toyoda Gosei, to uphold rules and policies related to corporate and social responsibility, compliance, and third-party involvement (Annual Recertification) This training complies with AGGNA requirements.",,,,0,AGG.University@dummydata.com,,,Business Analyst to Data Analyst
"Computer & Software_Access 2010, Part 1",Microsoft Access 2010 Part 1,ILT Content,0,en-us,,,,,,,0,,,,Serverless Deployments for Developers
"Computer & Software_Access 2010, Part 2",Microsoft Access 2010 Part 2,ILT Content,0,en-us,,,,,,,0,,,,Productivity Tools for Web App Vulnerability Analyst
Computer & Software_aPriori (vendor),aPriori,ILT Content,0,en-us,,,,,,,0,,,,Developer to Software Architect
Computer & Software_Excel (Chart & Graphs) (vendor),Excel - Charts & Graphs,ILT Content,0,en-us,,,,,,,0,,,,Productivity Tools for Python Master
Computer & Software_Excel Basics (vendor),Microsoft Excel Basics,ILT Content,0,en-us,,,,,,,0,,,,Efficiency & Productivity in the New Normal
Computer & Software_Excel Formatting (vendor),Microsoft Excel Formatting,ILT Content,0,en-us,,,,,,,0,,,,Business & Leadership for Data Analysis with R
Computer & Software_Excel Formulas (vendor),Microsoft Excel Formulas,ILT Content,0,en-us,,,,,,,0,,,,Enterprise Development to Full Stack Developer
Computer & Software_Excel Graphing (vendor),Microsoft Excel Graphing,ILT Content,0,en-us,,,,,,,0,,,,Productivity Tools for Web App Vulnerability Analyst
Computer & Software_JDE,JDE,ILT Content,1,en-us,,,,,,,0,,,,Productivity Tools with Agile for Software Development
Computer & Software_Microsoft Outlook,Microsoft Outlook,ILT Content,1,en-us,,,,,,,0,,,,Software Project Analyst to Senior Software Project Manager
"Computer & Software_Project 2010, Level 1 (vendor)",Microsoft Project 2010 Level 1,ILT Content,0,en-us,,,,,,,0,,,,Business & Leadership for Journeyman Developers
"Computer & Software_Project 2010, Level 2 (vendor)",Microsoft Project 2010 Level 2,ILT Content,0,en-us,,,,,,,0,,,,Business & Leadership for API Developers
Computer & Software_Shop Floor Data Entry,Shop Floor Data Entry,ILT Content,1,en-us,,,,,,,0,,,,Business & Leadership for Python Master
Computer Skills_Excel Basic,Excel Basic 10-Hour Certification,ILT Content,1,en-us,,, Acquire a basic understanding of operations in Microsoft Excel.,,,,1,,,,Engineering Lead
Computer Skills_Excel Intermediate,Excel Intermediate 10-Hour Certification,ILT Content,1,en-us,,," Acquire an intermediate understanding of operations using Microsoft Excel in order to manipulate data in order to gain information. (Sort, custom filter, creating graphs, pivot tables, IF functions, and much more!)",,,,1,,,,Productivity Tools for Site Reliability Engineers
Computer_ Filehold Leadership Core (AGGU),FileHold - Level II,ILT Content,0,en-us,,,,,,,0,,,,Novice Developer to Pythonista
Computer_ADP (eTime dept tracking),ADP (eTime dept tracking),ILT Content,1,en-us,,,,,,,0,,,,Business & Leadership for Software Architects
Computer_Document Control / Filehold (SCP),Document Control / Filehold (SCP),ILT Content,1,en-us,3600,,,,,,0,,,,Data Visualization
Computer_eTime / Payroll (SCP),eTime / Payroll (SCP),ILT Content,1,en-us,3600,,,,,,0,,,,Productivity Tools for API Developers
Computer_FileHold,FileHold,ILT Content,1,en-us,,,,,,,0,,,,AI Apprentice to AI Architect
Computer_JDE (SCP),JDE (SCP),ILT Content,1,en-us,3600,,,,,,0,,,,Productivity Tools with Serverless Deployments for Developers
Computer_Microsoft Excel - Basic (SCP),Microsoft Excel - Basic (SCP),ILT Content,1,en-us,5400,,,,,,0,,,,Managing & Leading through Unexpected Disruption
Computer_Microsoft Excel - Intermediate (SCP),Microsoft Excel - Intermediate (SCP),ILT Content,1,en-us,5400,,,,,,0,,,,Business & Leadership for Developer Fundamentals
Computer_Microsoft Outlook (SCP),Microsoft Outlook (SCP),ILT Content,1,en-us,3600,,,,,,0,,,,Productivity Tools for AI Architects
Computer_Microsoft PowerPoint (SCP),Microsoft PowerPoint (SCP),ILT Content,1,en-us,2700,,,,,,0,,,,Business & Leadership for Site Reliability Engineers
Computer_Microsoft Teams (SCP),Microsoft Teams (SCP),ILT Content,1,en-us,3600,,,,,,0,,,,Javanista to Java Master
Construction Technology (vendor),1000 Hours Training Construction Technology,ILT Content,0,en-us,,,,,,,0,,,,Enriched Web Development with Angular 11
Core_ Core Operator Training (AGGU),Core Operator Training,ILT Content,1,en-us,,, This training complies with AGG standards.,,,,0,AGG.University@dummydata.com,,,Business & Leadership for Javanista to Java Master
Core_Ashram (AGGU),Ashram Training,ILT Content,0,en-us,,,,,,,0,,,,Pythonista to Python Master
Dimensional Repeatability (vendor),Dimensional Repeatability,ILT Content,0,en-us,,,,,,,0,,,,Productivity Tools for Business Analyst to Data Analysts
EE1600 (College Transcript),Practical Electronics II,ILT Content,0,en-us,,,,,,,0,,,,Security Essentials for Decision-makers and Leaders
EEE 1500 (College Transcript),Basic Electronics,ILT Content,0,en-us,,,,,,,0,,,,Productivity Tools for CloudOps Engineers
EEE 1550 (College Transcript),Electrical Systems,ILT Content,0,en-us,,,,,,,0,,,,Productivity Tools for Data Analysis with R
EEE 1580 (College Transcript),Practical Electronics I,ILT Content,0,en-us,,,,,,,0,,,,Business & Leadership for Go Programming Essentials
EEE 2000 (College Transcript),Solid State Electronics,ILT Content,0,en-us,,,,,,,0,,,,Software Product Management Proficiency
EEE1710 (College Transcripts),National Electrical Code,ILT Content,0,en-us,,,,,,,0,,,,Programmer to API Developer
Electrical Lab Level 1,Electrical Lab - Level 1,ILT Content,1,,,,,,,,0,,,,Agile for Software Development
EMT (vendor),Emergency Medical Technician,ILT Content,0,en-us,,,,,,,0,,,,Java Novice to Javanista
Essentials & Coaching (MAC),"Essentials of Leadership, Coaching for Success, Coaching for Improvement, Managing Performance Problems, and Resolving Conflict",ILT Content,0,en-us,,,,,,,0,,,,Data Analysis with R
Fanuc (vendor),SpotTool Operation and Programming with Servo Gun,ILT Content,0,en-us,,,,,,,0,,,,Business & Leadership for AI and ML for Decision-makers
FANUC Robots Level 1,FANUC Robots - Level 1,ILT Content,1,,,,,,,,0,,,,Business & Leadership for Engineering Lead
GNST-100-B70DL (College Transcript),Foundations Student,ILT Content,0,en-us,,,,,,,0,,,,Business & Leadership with Serverless Deployments for Developers
guest_computer skills_basic,Excel Basic 10 Hour Certification (GUEST),ILT Content,1,,7200,,Acquire a basic understanding of operations in Microsoft Excel (GUEST).,,,,1,,,,Productivity Tools for Decision-makers and Leaders
Haz Waste Personnel (vendor),Hazardous Waste Personnel and Emergency Response Training,ILT Content,0,en-us,,,,,,,0,,,,AI and ML for Decision-makers
HAZMAT 40 (vendor),HAZMAT 40 (1st Environmental Information Systems),ILT Content,0,en-us,,,,,,,0,,,,Web App Vulnerability Analyst
Health & Well-Being_Health Perspectives (AGGU),Health Perspectives & Your Fitness,ILT Content,0,en-us,,,,,,,0,,,,Business & Leadership for Pythonista
Hoshin_Hoshin Training & SMART Goals_ILT,Hoshin Training & SMART Goals,ILT Content,1,en-us,1800,,"In this course, we will be looking at how the hoshin targets are cascaded down throughout the organization, starting from the Americas group hoshin down to individual team members. You will also become familiar with the top down approach to goal setting and how each level of the company contributes to goals.  This is a AGGNA requirement and it is an annual recertification for all salary employees.",,,,0,AGG.University@dummydata.com,,,Enterprise Development to DevOps Engineer
How the Steel Market Works Training (vendor),How the Steel Market Works Training,ILT Content,0,en-us,,,,,,,0,,,,Business & Leadership for Software Product Management
ILTcourse_Sub,ILTcourse_Sub,ILT Content,1,,,,,,,,0,,,,Productivity Tools for Journeyman Developers
